id,c,value,experiment_id,app_name,request_size
1,0,0.138541,1,javagrpc,small
2,1,0.0019277,1,javagrpc,small
3,2,0.00224322,1,javagrpc,small
4,3,0.00509749,1,javagrpc,small
5,4,0.00507466,1,javagrpc,small
6,5,0.00612526,1,javagrpc,small
7,6,0.0049426,1,javagrpc,small
8,7,0.00486969,1,javagrpc,small
9,8,0.00495625,1,javagrpc,small
10,9,0.00513529,1,javagrpc,small
11,10,0.00474383,1,javagrpc,small
12,11,0.00464407,1,javagrpc,small
13,12,0.00466845,1,javagrpc,small
14,13,0.00433222,1,javagrpc,small
15,14,0.00486665,1,javagrpc,small
16,15,0.00428477,1,javagrpc,small
17,16,0.00417238,1,javagrpc,small
18,17,0.00425602,1,javagrpc,small
19,18,0.00537542,1,javagrpc,small
20,19,0.00557271,1,javagrpc,small
21,20,0.00510855,1,javagrpc,small
22,21,0.00536442,1,javagrpc,small
23,22,0.00491805,1,javagrpc,small
24,23,0.00546313,1,javagrpc,small
25,24,0.00549285,1,javagrpc,small
26,25,0.00465709,1,javagrpc,small
27,26,0.00489614,1,javagrpc,small
28,27,0.00509579,1,javagrpc,small
29,28,0.00523899,1,javagrpc,small
30,29,0.00542885,1,javagrpc,small
31,30,0.0048532,1,javagrpc,small
32,31,0.00503553,1,javagrpc,small
33,32,0.00387825,1,javagrpc,small
34,33,0.00399356,1,javagrpc,small
35,34,0.00470269,1,javagrpc,small
36,35,0.00476744,1,javagrpc,small
37,36,0.00501245,1,javagrpc,small
38,37,0.00442393,1,javagrpc,small
39,38,0.00510106,1,javagrpc,small
40,39,0.0047199,1,javagrpc,small
41,40,0.00485559,1,javagrpc,small
42,41,0.00458575,1,javagrpc,small
43,42,0.00473652,1,javagrpc,small
44,43,0.00442682,1,javagrpc,small
45,44,0.00505691,1,javagrpc,small
46,45,0.00390805,1,javagrpc,small
47,46,0.00383908,1,javagrpc,small
48,47,0.00416221,1,javagrpc,small
49,48,0.00366905,1,javagrpc,small
50,49,0.0048942,1,javagrpc,small
51,50,0.00376254,1,javagrpc,small
52,51,0.00397651,1,javagrpc,small
53,52,0.00379303,1,javagrpc,small
54,53,0.00331071,1,javagrpc,small
55,54,0.00498946,1,javagrpc,small
56,55,0.00427193,1,javagrpc,small
57,56,0.00407045,1,javagrpc,small
58,57,0.0034496,1,javagrpc,small
59,58,0.00402435,1,javagrpc,small
60,59,0.0065926,1,javagrpc,small
61,60,0.00427897,1,javagrpc,small
62,61,0.00346235,1,javagrpc,small
63,62,0.00411176,1,javagrpc,small
64,63,0.00461031,1,javagrpc,small
65,64,0.00414478,1,javagrpc,small
66,65,0.00353,1,javagrpc,small
67,66,0.00355469,1,javagrpc,small
68,67,0.00347851,1,javagrpc,small
69,68,0.00326414,1,javagrpc,small
70,69,0.00345779,1,javagrpc,small
71,70,0.00355083,1,javagrpc,small
72,71,0.00306706,1,javagrpc,small
73,72,0.00395431,1,javagrpc,small
74,73,0.00409906,1,javagrpc,small
75,74,0.00400007,1,javagrpc,small
76,75,0.00366393,1,javagrpc,small
77,76,0.00240265,1,javagrpc,small
78,77,0.0034521,1,javagrpc,small
79,78,0.00332944,1,javagrpc,small
80,79,0.00428082,1,javagrpc,small
81,80,0.00367848,1,javagrpc,small
82,81,0.00350665,1,javagrpc,small
83,82,0.00377693,1,javagrpc,small
84,83,0.00339062,1,javagrpc,small
85,84,0.00458137,1,javagrpc,small
86,85,0.00418772,1,javagrpc,small
87,86,0.003465,1,javagrpc,small
88,87,0.00371879,1,javagrpc,small
89,88,0.00317861,1,javagrpc,small
90,89,0.00417414,1,javagrpc,small
91,90,0.00325901,1,javagrpc,small
92,91,0.00326389,1,javagrpc,small
93,92,0.00321429,1,javagrpc,small
94,93,0.00300084,1,javagrpc,small
95,94,0.00372767,1,javagrpc,small
96,95,0.00375748,1,javagrpc,small
97,96,0.00326026,1,javagrpc,small
98,97,0.00321877,1,javagrpc,small
99,98,0.00348649,1,javagrpc,small
100,99,0.00327757,1,javagrpc,small
101,100,0.00305186,1,javagrpc,small
102,101,0.00326999,1,javagrpc,small
103,102,0.00361252,1,javagrpc,small
104,103,0.00324352,1,javagrpc,small
105,104,0.0030794,1,javagrpc,small
106,105,0.00311485,1,javagrpc,small
107,106,0.00363566,1,javagrpc,small
108,107,0.00351009,1,javagrpc,small
109,108,0.00292125,1,javagrpc,small
110,109,0.00325099,1,javagrpc,small
111,110,0.00299364,1,javagrpc,small
112,111,0.00303681,1,javagrpc,small
113,112,0.00335669,1,javagrpc,small
114,113,0.00128063,1,javagrpc,small
115,114,0.00310353,1,javagrpc,small
116,115,0.00311477,1,javagrpc,small
117,116,0.00363485,1,javagrpc,small
118,117,0.00347756,1,javagrpc,small
119,118,0.00298583,1,javagrpc,small
120,119,0.00390254,1,javagrpc,small
121,120,0.00321475,1,javagrpc,small
122,121,0.00287639,1,javagrpc,small
123,122,0.00283257,1,javagrpc,small
124,123,0.00289359,1,javagrpc,small
125,124,0.00341976,1,javagrpc,small
126,125,0.0030436,1,javagrpc,small
127,126,0.00314658,1,javagrpc,small
128,127,0.00469264,1,javagrpc,small
129,128,0.00296332,1,javagrpc,small
130,129,0.00347789,1,javagrpc,small
131,130,0.00307292,1,javagrpc,small
132,131,0.00286673,1,javagrpc,small
133,132,0.00289334,1,javagrpc,small
134,133,0.00269592,1,javagrpc,small
135,134,0.00305202,1,javagrpc,small
136,135,0.00277356,1,javagrpc,small
137,136,0.00296641,1,javagrpc,small
138,137,0.00301477,1,javagrpc,small
139,138,0.00282752,1,javagrpc,small
140,139,0.00310707,1,javagrpc,small
141,140,0.00292,1,javagrpc,small
142,141,0.00303999,1,javagrpc,small
143,142,0.0029559,1,javagrpc,small
144,143,0.00313713,1,javagrpc,small
145,144,0.00287226,1,javagrpc,small
146,145,0.00287566,1,javagrpc,small
147,146,0.00293939,1,javagrpc,small
148,147,0.00295688,1,javagrpc,small
149,148,0.00288579,1,javagrpc,small
150,149,0.00321477,1,javagrpc,small
151,150,0.00283337,1,javagrpc,small
152,151,0.00284833,1,javagrpc,small
153,152,0.00291797,1,javagrpc,small
154,153,0.00279864,1,javagrpc,small
155,154,0.00299383,1,javagrpc,small
156,155,0.00274987,1,javagrpc,small
157,156,0.00283995,1,javagrpc,small
158,157,0.00281671,1,javagrpc,small
159,158,0.00261399,1,javagrpc,small
160,159,0.00328214,1,javagrpc,small
161,160,0.00301387,1,javagrpc,small
162,161,0.0029878,1,javagrpc,small
163,162,0.00295007,1,javagrpc,small
164,163,0.00310722,1,javagrpc,small
165,164,0.00329962,1,javagrpc,small
166,165,0.00284952,1,javagrpc,small
167,166,0.00286617,1,javagrpc,small
168,167,0.00306342,1,javagrpc,small
169,168,0.00298249,1,javagrpc,small
170,169,0.00330395,1,javagrpc,small
171,170,0.00446697,1,javagrpc,small
172,171,0.00310826,1,javagrpc,small
173,172,0.00297449,1,javagrpc,small
174,173,0.00293121,1,javagrpc,small
175,174,0.00336611,1,javagrpc,small
176,175,0.0027533,1,javagrpc,small
177,176,0.00277549,1,javagrpc,small
178,177,0.00268031,1,javagrpc,small
179,178,0.0026794,1,javagrpc,small
180,179,0.00300836,1,javagrpc,small
181,180,0.00295002,1,javagrpc,small
182,181,0.00270019,1,javagrpc,small
183,182,0.00300106,1,javagrpc,small
184,183,0.00292946,1,javagrpc,small
185,184,0.00294261,1,javagrpc,small
186,185,0.00283725,1,javagrpc,small
187,186,0.00280286,1,javagrpc,small
188,187,0.00258495,1,javagrpc,small
189,188,0.00280206,1,javagrpc,small
190,189,0.00312346,1,javagrpc,small
191,190,0.00298103,1,javagrpc,small
192,191,0.00304961,1,javagrpc,small
193,192,0.00286827,1,javagrpc,small
194,193,0.00287641,1,javagrpc,small
195,194,0.00319794,1,javagrpc,small
196,195,0.00286135,1,javagrpc,small
197,196,0.0027869,1,javagrpc,small
198,197,0.00255624,1,javagrpc,small
199,198,0.00263691,1,javagrpc,small
200,199,0.00293279,1,javagrpc,small
201,200,0.00272565,1,javagrpc,small
202,201,0.00268262,1,javagrpc,small
203,202,0.0025485,1,javagrpc,small
204,203,0.00264515,1,javagrpc,small
205,204,0.00290872,1,javagrpc,small
206,205,0.00277007,1,javagrpc,small
207,206,0.00272174,1,javagrpc,small
208,207,0.00256526,1,javagrpc,small
209,208,0.00276044,1,javagrpc,small
210,209,0.00309105,1,javagrpc,small
211,210,0.00274991,1,javagrpc,small
212,211,0.00246894,1,javagrpc,small
213,212,0.00255135,1,javagrpc,small
214,213,0.0029334,1,javagrpc,small
215,214,0.00311506,1,javagrpc,small
216,215,0.00273799,1,javagrpc,small
217,216,0.00278882,1,javagrpc,small
218,217,0.0026553,1,javagrpc,small
219,218,0.00254106,1,javagrpc,small
220,219,0.00299153,1,javagrpc,small
221,220,0.00277551,1,javagrpc,small
222,221,0.00284718,1,javagrpc,small
223,222,0.0029051,1,javagrpc,small
224,223,0.00273716,1,javagrpc,small
225,224,0.00313564,1,javagrpc,small
226,225,0.00286441,1,javagrpc,small
227,226,0.00293706,1,javagrpc,small
228,227,0.00260064,1,javagrpc,small
229,228,0.00257297,1,javagrpc,small
230,229,0.00285572,1,javagrpc,small
231,230,0.00260938,1,javagrpc,small
232,231,0.00146347,1,javagrpc,small
233,232,0.00267731,1,javagrpc,small
234,233,0.00295222,1,javagrpc,small
235,234,0.00329186,1,javagrpc,small
236,235,0.00257663,1,javagrpc,small
237,236,0.00258628,1,javagrpc,small
238,237,0.002548,1,javagrpc,small
239,238,0.00263406,1,javagrpc,small
240,239,0.00295081,1,javagrpc,small
241,240,0.00322669,1,javagrpc,small
242,241,0.00264001,1,javagrpc,small
243,242,0.00255926,1,javagrpc,small
